,ISBN,Book-Title,Book-Author,Year-Of-Publication,Image-URL-L
0,0002005018,Clara Callan,Richard Bruce Wright,2001,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
1,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
2,080410753X,The Kitchen God's Wife,Amy Tan,1991,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
4,0452261368,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
5,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
6,0971880107,Wild Animus,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
7,0679446486,Airframe,Michael Crichton,1997,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
8,0679444815,Timeline,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
9,0375507876,Prague : A Novel,ARTHUR PHILLIPS,2003,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
10,0375706062,Lying Awake,Mark Salzman,2000,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
14,0061099686,Downtown,Anne Rivers Siddons,1995,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
15,0345384350,Icebound,Dean R. Koontz,2000,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
16,0671673661,I'll Be Seeing You,Mary Higgins Clark,1994,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
17,0553801341,From the Corner of His Eye,Dean Koontz,2001,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
18,039914739X,Isle of Dogs,Patricia Cornwell,2002,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
19,042518630X,Purity in Death,J.D. Robb,2002,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
20,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
25,0399134204,The Joy Luck Club,Amy Tan,1994,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
27,0060938412,The Accidental Virgin,Valerie Frankel,2003,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg
28,0525244581,The Tao of Pooh,Benjamin Hoff,1983,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
30,1558532161,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
31,0441783589,Starship Troopers,Robert A. Heinlein,1987,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
32,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg
34,8445071777,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg
37,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
38,0684810395,Pretend You Don't See Her,Mary Higgins Clark,1998,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
39,0312980159,Fast Women,Jennifer Crusie,2001,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
40,0312979886,Female Intelligence,Jane Heller,2001,http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg
41,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg
42,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg
44,0679436448,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg
45,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
46,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg
47,0446519804,The Alibi,Sandra Brown,2000,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg
49,0446529788,A Kiss Remembered,Sandra Brown,2003,http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg
50,039914868X,The Short Forever,Stuart Woods,2003,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg
51,0553802461,Dead Aim,IRIS JOHANSEN,2004,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
52,0743486226,Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
53,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg
54,0743202961,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg
55,0380619458,The Mosquito Coast,Paul Theroux,1990,http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg
56,0684867621,The Girl Who Loved Tom Gordon,Stephen King,2000,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
57,0743225708,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg
58,0399136150,The Sum of All Fears,Tom Clancy,2002,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg
59,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg
61,0060517794,Little Altars Everywhere: A Novel,Rebecca Wells,1996,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
62,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg
63,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
64,0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1994,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
65,0385503954,Atonement : A Novel,IAN MCEWAN,2003,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
66,0451410319,Hush,Anne Frasier,2002,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg
67,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg
70,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg
71,0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg
72,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg
73,006092988X,Tree Grows In Brooklyn,Betty Smith,1988,http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg
74,0446610100,Wish You Well,David Baldacci,2000,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
76,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg
77,0395083567,My Antonia,Willa Cather,1995,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg
78,0525946446,Pen Pals,Olivia Goldsmith,2002,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg
81,0515115649,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,http://images.amazon.com/images/P/0399138684.01.LZZZZZZZ.jpg
82,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg
83,0553574019,The Martian Chronicles,RAY BRADBURY,1984,http://images.amazon.com/images/P/0553278223.01.LZZZZZZZ.jpg
85,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,http://images.amazon.com/images/P/3257233051.01.LZZZZZZZ.jpg
86,3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,http://images.amazon.com/images/P/3492045642.01.LZZZZZZZ.jpg
87,0679457313,The God of Small Things,Arundhati Roy,1998,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
88,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg
90,0345311396,Private Screening,Richard North Patterson,1994,http://images.amazon.com/images/P/0345311396.01.LZZZZZZZ.jpg
91,038056176X,Congo,Michael Crichton,1995,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg
92,0679450440,Protect and Defend,Richard North Patterson,2001,http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg
94,0375406182,Plainsong (Vintage Contemporaries),KENT HARUF,2000,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg
95,0671023616,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
96,0380718340,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
97,038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,http://images.amazon.com/images/P/038076654X.01.LZZZZZZZ.jpg
98,0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,http://images.amazon.com/images/P/0380807866.01.LZZZZZZZ.jpg
99,0440226406,Legacy of Silence,Belva Plain,1998,http://images.amazon.com/images/P/0385316895.01.LZZZZZZZ.jpg
100,0440236673,The Brethren,JOHN GRISHAM,2000,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
101,0440241537,The King of Torts,John Grisham,2003,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg
103,0440242002,Bleachers,John Grisham,2003,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
105,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
106,0446525502,The Rescue,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
107,0345433300,Manhattan Hunt Club,JOHN SAUL,2002,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
108,0804114609,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg
110,0451186648,Silent Snow,Steve Thayer,2000,http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg
112,051513290X,Summer of Storms,Judith Kelman,2002,http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg
113,0553109839,The Patient,Michael Palmer,2001,http://images.amazon.com/images/P/0553580388.01.LZZZZZZZ.jpg
115,0671027387,Deception Point,Dan Brown,2002,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
116,0684865742,Tis : A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg
117,0671027360,Angels &amp; Demons,Dan Brown,2003,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
118,0786884142,A Monk Swimming,Malachy McCourt,1998,http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg
119,037542217X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg
121,0060391448,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
123,0375704965,A Judgement in Stone,Ruth Rendell,2000,http://images.amazon.com/images/P/0375704965.01.LZZZZZZZ.jpg
124,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
125,0679410325,Secret History,DONNA TARTT,1993,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
127,0316782505,The Weight of Water,Anita Shreve,2001,http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg
128,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,http://images.amazon.com/images/P/006102063X.01.LZZZZZZZ.jpg
129,0060013125,Night Watch,Terry Pratchett,2002,http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg
130,0060563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,http://images.amazon.com/images/P/0060563079.01.LZZZZZZZ.jpg
131,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg
132,0140430164,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,http://images.amazon.com/images/P/0140620664.01.LZZZZZZZ.jpg
133,0312890044,Moonheart (Newford),Charles de Lint,1994,http://images.amazon.com/images/P/0312890044.01.LZZZZZZZ.jpg
136,0060533986,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,http://images.amazon.com/images/P/0380730448.01.LZZZZZZZ.jpg
137,0385335482,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg
138,0451409256,Making Minty Malone,Isabel Wolff,2000,http://images.amazon.com/images/P/0451409256.01.LZZZZZZZ.jpg
139,0451523415,Little Women (Signet Classic),Louisa May Alcott,1988,http://images.amazon.com/images/P/0451523415.01.LZZZZZZZ.jpg
140,0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,http://images.amazon.com/images/P/0451526279.01.LZZZZZZZ.jpg
141,0451524667,Animal Farm,George Orwell,2004,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
142,055357535X,Eva Luna,Isabel Allende,1989,http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg
143,0679751343,Angels &amp; Insects : Two Novellas,A.S. BYATT,1994,http://images.amazon.com/images/P/0679751343.01.LZZZZZZZ.jpg
144,0440204399,Catch 22,Joseph Heller,1996,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
145,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,http://images.amazon.com/images/P/1563898586.01.LZZZZZZZ.jpg
146,0553580930,A Man in Full,Tom Wolfe,1998,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg
147,0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,http://images.amazon.com/images/P/0375719180.01.LZZZZZZZ.jpg
148,0440235502,October Sky: A Memoir,Homer Hickam,1999,http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg
149,038550120X,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
150,1573225487,The Romance Reader,Pearl Abraham,1996,http://images.amazon.com/images/P/1573225487.01.LZZZZZZZ.jpg
152,0345391691,The Battle for God,Karen Armstrong,2001,http://images.amazon.com/images/P/0345391691.01.LZZZZZZZ.jpg
153,0553278746,The Postman (Bantam Classics),David Brin,1990,http://images.amazon.com/images/P/0553278746.01.LZZZZZZZ.jpg
154,0312963009,Neanderthal: A Novel,John Darnton,1997,http://images.amazon.com/images/P/0312963009.01.LZZZZZZZ.jpg
155,0688149790,Babyhood,Paul Reiser,1998,http://images.amazon.com/images/P/0380728729.01.LZZZZZZZ.jpg
156,0517595753,Dave Barry in Cyberspace,Dave Barry,1997,http://images.amazon.com/images/P/0449912302.01.LZZZZZZZ.jpg
157,0375406530,Waiting,Frank M. Robinson,2000,http://images.amazon.com/images/P/0812541642.01.LZZZZZZZ.jpg
158,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,http://images.amazon.com/images/P/0486282112.01.LZZZZZZZ.jpg
159,0684193957,ALL THAT REMAINS,Patricia Cornwell,1992,http://images.amazon.com/images/P/0684193957.01.LZZZZZZZ.jpg
160,0345371984,Last Chance to See,Douglas Adams,1992,http://images.amazon.com/images/P/0345371984.01.LZZZZZZZ.jpg
161,0688180639,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg
162,1573221562,Affinity,Sarah Waters,2002,http://images.amazon.com/images/P/1573228737.01.LZZZZZZZ.jpg
163,0452283914,"The Best Democracy Money Can Buy: The Truth About Corporate Cons, Globalization and High-Finance Fraudsters",Greg Palast,2003,http://images.amazon.com/images/P/0452283914.01.LZZZZZZZ.jpg
164,0425083837,The Hunt for Red October,Tom Clancy,1990,http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg
165,0399144595,Liberty Falling (Anna Pigeon Mysteries (Paperback)),Nevada Barr,2000,http://images.amazon.com/images/P/0380728273.01.LZZZZZZZ.jpg
166,0060188731,Bel Canto,Ann Patchett,2001,http://images.amazon.com/images/P/0060188731.01.LZZZZZZZ.jpg
167,0140374248,James and the Giant Peach,Roald Dahl,2000,http://images.amazon.com/images/P/0140374248.01.LZZZZZZZ.jpg
169,0312263120,Digital Fortress : A Thriller,Dan Brown,2003,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
170,0380704587,The Ladies of Missalonghi,Colleen McCullough,1988,http://images.amazon.com/images/P/0380704587.01.LZZZZZZZ.jpg
171,0552998001,Blackberry Wine : A Novel,Joanne Harris,2001,http://images.amazon.com/images/P/0380815923.01.LZZZZZZZ.jpg
172,044021145X,The Firm,John Grisham,1991,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg
