,User-ID,ISBN,Book-Rating
16,276747,0060976845,9
20,276747,0679776818,8
133,276822,0425184498,10
137,276822,0375821813,9
177,276847,3404148576,8
179,276847,3423071516,10
189,276847,3442437717,7
193,276847,3442446414,10
210,276847,3551551677,10
211,276847,3551551685,10
212,276847,8478885196,10
213,276847,3551551936,10
216,276847,360893541X,10
280,276859,0836218833,10
289,276861,3423201509,10
295,276861,360893541X,9
307,276866,3404139178,9
397,276904,0440414121,10
418,276925,0140154078,6
429,276925,0765349671,8
517,276925,950491036X,10
524,276928,0060263857,5
544,276929,2020564777,6
586,276929,2266102621,10
587,276929,2266104535,2
629,276939,2253063339,9
630,276939,2253137243,9
631,276939,2253144452,9
634,276939,226612269X,9
640,276939,8423310353,8
683,276964,0345348672,10
684,276964,0345354621,10
691,276964,0385424728,9
698,276964,0671042858,8
701,276964,0312854277,10
702,276964,1551667401,8
704,276964,0886774802,8
705,276964,0886774829,8
706,276964,0886775426,9
707,276964,0886775957,10
739,276988,0743467523,7
741,276988,0061094404,8
744,276988,0671673653,8
755,276994,3423202327,6
761,276994,3492045170,7
765,276994,3548359698,6
798,277042,031242227X,8
801,277042,0446605484,7
802,277042,0316693235,8
805,277042,0609804138,9
812,277042,0971880107,2
820,277051,0385501560,10
822,277051,0553262505,7
860,277087,8472230082,5
869,277107,0375504907,10
870,277107,0843951826,5
911,277157,0312979517,5
913,277157,0446611611,5
916,277157,0345450175,6
917,277157,0345452569,7
928,277157,0425179885,7
930,277157,0399147101,7
936,277157,0425189864,6
937,277157,0425190641,8
941,277157,0399151451,7
945,277157,0425183181,5
954,277157,0671024094,7
955,277157,0345404769,6
960,277157,074320607X,7
962,277157,0671027360,7
1012,277171,0688046606,7
1016,277171,0374270325,9
1019,277171,080410946X,8
1083,277195,0060391626,10
1131,277195,055334949X,10
1134,277195,0553347756,10
1140,277195,0671003755,10
1143,277195,0671019074,10
1173,277195,157322930X,10
1202,277203,030700645X,8
1204,277203,0307302016,8
1205,277203,0307302636,8
1206,277203,0307987655,8
1211,277203,039480001X,9
1212,277203,0394900014,9
1213,277203,0394800184,9
1214,277203,039480029X,8
1215,277203,039480967X,8
1228,277203,059044297X,9
1238,277203,0717283208,8
1388,277378,0312195516,7
